N,Triton,Torch
1024.000000,655.360017,630.153853
1536.000000,702.171410,599.414644
2048.000000,712.347810,585.142849
2560.000000,731.428561,568.888869
3072.000000,712.347810,558.545450
3584.000000,699.317085,551.384622
4096.000000,668.734716,555.389814
4608.000000,624.813540,546.133354
5120.000000,585.142842,546.133307
5632.000000,570.329131,546.133317
6144.000000,537.180338,543.116035
6656.000000,543.346957,543.346957
7168.000000,516.612607,543.545008
7680.000000,501.551014,543.716805
8192.000000,486.352478,541.619847
8704.000000,470.486466,544.000001
9216.000000,462.244495,546.133354
9728.000000,455.111093,544.223786
10240.000000,444.010856,544.318950
10752.000000,437.740464,546.133312
11264.000000,436.377722,544.483403
11776.000000,432.146787,546.133321
12288.000000,430.214454,541.619836
12800.000000,429.350110,546.133329
13312.000000,428.555331,546.133332
13824.000000,428.651187,546.133335
14336.000000,426.349425,547.436768
14848.000000,427.280587,546.133340
15360.000000,427.408686,546.133343
15872.000000,426.810091,546.133345
