N,Triton,Triton_rmsnorm_fwd,Torch_Py
512.000000,585.142849,585.142849,79.533982
1024.000000,655.360017,682.666643,128.000000
1536.000000,702.171410,722.823517,142.057809
2048.000000,728.177767,762.046512,151.004613
2560.000000,718.596477,772.830192,155.741448
3072.000000,692.281669,792.774204,159.341904
3584.000000,690.891575,796.444416,159.732591
4096.000000,668.734716,799.219525,165.494954
4608.000000,715.805836,801.391287,163.476718
5120.000000,694.237267,803.137269,168.907218
5632.000000,677.533865,811.477150,170.344042
6144.000000,664.216187,812.429770,171.279977
6656.000000,653.349676,812.946606,173.019165
7168.000000,644.314599,813.390089,161.539508
7680.000000,636.683938,819.199961,29.194582
8192.000000,627.138740,819.200021,135.685297
8704.000000,773.688877,819.200003,32.386976
9216.000000,764.020726,819.199988,28.033460
9728.000000,759.258522,823.534398,29.386951
10240.000000,751.559629,823.316575,30.217633
10752.000000,741.517223,823.365820,31.513465
11264.000000,732.617855,822.940661,32.461096
11776.000000,727.474923,826.385949,33.681801
12288.000000,714.938186,826.084057,35.011665
12800.000000,711.111086,829.149834,36.428318
13312.000000,702.943876,825.550434,36.894509
13824.000000,695.547157,828.404507,37.789851
14336.000000,688.816809,831.072445,38.557069
14848.000000,680.710584,827.763059,39.757009
15360.000000,673.343873,827.474771,40.682005
15872.000000,668.294715,829.908492,41.583755
16384.000000,661.979817,829.569645,42.673612
16896.000000,819.199976,824.195135,43.490349
17408.000000,814.372108,826.492569,44.635897
17920.000000,805.534704,826.282436,45.489451
18432.000000,801.391287,826.264868,46.472109
18944.000000,793.465972,828.153021,48.218900
19456.000000,790.091366,830.122659,48.349267
19968.000000,784.982774,827.689120,44.382580
20480.000000,780.190482,827.474771,48.995217
20992.000000,768.585795,827.270923,31.812086
21504.000000,762.891353,827.076932,30.868833
22016.000000,754.295495,826.891993,31.347868
22528.000000,746.269135,828.616102,34.959314
23040.000000,744.727294,826.547102,32.496475
23552.000000,740.337953,828.202196,32.925470
24064.000000,736.183522,826.231764,33.529915
24576.000000,720.835903,826.084057,34.390065
25088.000000,724.563141,827.645366,58.314519
25600.000000,716.083929,829.149834,36.183747
26112.000000,716.624338,830.600417,36.793660
26624.000000,706.441136,828.762623,37.811469
27136.000000,701.982221,828.580194,39.366759
27648.000000,694.455238,829.958749,38.413337
28160.000000,692.104445,826.715570,38.942091
28672.000000,688.816809,829.569590,39.355895
29184.000000,681.172885,829.385465,39.726389
29696.000000,675.388769,829.207682,40.389197
30208.000000,106.167593,829.035999,41.498068
30720.000000,553.513508,831.763084,41.624255
31232.000000,581.060485,830.086399,41.109949
31744.000000,95.327326,829.231011,41.764987
32256.000000,104.177634,829.736306,42.035917
