N,Torch_softmax,Triton_softmax,Triton_online_v2_softmax
4096.000000,64.000000,85.333330,46.545454
12288.000000,139.636363,192.000000,127.999995
20480.000000,170.666671,232.727271,196.923079
28672.000000,170.666668,298.666656,255.999996
36864.000000,184.320005,230.400006,307.200008
45056.000000,181.677422,268.190478,352.000001
53248.000000,179.891884,302.545452,369.777765
61440.000000,202.105272,365.714289,426.666652
69632.000000,197.818180,395.636361,414.476194
77824.000000,198.530619,442.181815,422.956512
86016.000000,199.111111,488.727269,430.080011
94208.000000,196.266672,535.272723,420.571423
102400.000000,172.972965,512.000013,426.666677
110592.000000,170.666670,575.999980,406.588228
118784.000000,190.358981,658.539134,436.705875
126976.000000,188.952382,721.454540,440.888873
135168.000000,191.999999,767.999994,456.648629
143360.000000,192.688167,814.545448,448.000011
151552.000000,191.353541,861.090902,451.047623
159744.000000,176.707962,798.720020,453.818178
167936.000000,177.898300,912.695632,476.414176
176128.000000,196.571426,1000.727265,458.666650
184320.000000,195.254231,1047.272719,469.306183
192512.000000,197.245905,1093.818173,462.769236
200704.000000,197.543297,1140.363627,464.592592
208896.000000,197.818180,1186.909082,483.555555
217088.000000,182.120806,1130.666627,476.070166
225280.000000,181.677418,1173.333292,477.288121
233472.000000,197.189181,1326.545444,486.400012
241664.000000,200.052980,1373.090898,487.225813
249856.000000,200.205135,1419.636353,488.000001
258048.000000,196.682930,1466.181807,496.246152
266240.000000,180.869561,1386.666618,489.411756
274432.000000,183.443852,1429.333283,497.159409
282624.000000,199.593227,1605.818169,497.577449
290816.000000,200.839784,1652.363623,498.292526
299008.000000,200.946231,1698.909078,505.081059
307200.000000,201.047121,1745.454532,505.263180
315392.000000,201.142864,1791.999986,492.800012
323584.000000,184.694069,1685.333274,493.268301
331776.000000,185.142855,1727.999939,471.272724
339968.000000,187.207051,1931.636349,505.904766
348160.000000,202.506894,1978.181803,506.046512
356352.000000,203.397266,2024.727257,511.999998
364544.000000,202.975508,2071.272711,511.999994
372736.000000,184.888890,1937.549107,506.434771
380928.000000,186.000000,1983.999930,506.553177
389120.000000,187.076923,2026.666595,511.999984
397312.000000,202.710202,2257.454528,517.333315
405504.000000,202.751990,2303.999982,522.556720
413696.000000,203.590541,2248.347776,512.000011
421888.000000,187.007096,2197.333256,512.000008
430080.000000,186.666660,2239.999921,512.000004
438272.000000,186.976116,2282.666586,516.830191
446464.000000,182.977053,2536.727253,521.570094
454656.000000,203.630505,2470.956467,521.394493
462848.000000,203.718304,2629.818161,521.225220
471040.000000,203.737032,2676.363615,521.061938
479232.000000,204.450519,2495.999912,516.413780
487424.000000,187.182793,2538.666577,520.752122
495616.000000,187.166170,2581.333242,525.016933
503808.000000,205.133544,2862.545432,529.210099
512000.000000,204.472846,2782.608634,524.590174
520192.000000,205.772158,2955.636341,528.650384
