N,Triton,Torch
1024.000000,655.360017,630.153853
1536.000000,722.823517,630.153868
2048.000000,730.206133,607.517965
2560.000000,744.727267,585.142842
3072.000000,702.171410,564.965515
3584.000000,699.317085,556.737872
4096.000000,682.666643,564.965503
4608.000000,624.813540,550.208948
5120.000000,585.142842,546.133307
5632.000000,563.200014,546.288550
6144.000000,543.116035,546.133325
6656.000000,543.346957,546.133332
7168.000000,523.689512,548.746398
7680.000000,503.606567,548.571421
8192.000000,494.611303,546.133347
8704.000000,472.081347,546.133351
9216.000000,465.160886,546.133354
9728.000000,456.445739,548.056321
10240.000000,448.876695,547.959854
10752.000000,442.241653,547.872604
11264.000000,437.436900,547.793309
11776.000000,432.146787,549.317796
12288.000000,429.275114,544.620479
12800.000000,431.157887,549.061680
13312.000000,430.286881,547.537284
13824.000000,429.483477,550.144783
14336.000000,428.740188,547.436768
14848.000000,428.823083,549.925925
15360.000000,428.153306,547.349649
15872.000000,428.249596,549.679658
