M,N,K,Triton
256.000000,256.000000,256.000000,1.820444
384.000000,384.000000,384.000000,4.608000
512.000000,512.000000,512.000000,8.738134
640.000000,640.000000,640.000000,14.222222
768.000000,768.000000,768.000000,20.575256
896.000000,896.000000,896.000000,29.269332
1024.000000,1024.000000,1024.000000,38.836148
1152.000000,1152.000000,1152.000000,49.766401
1280.000000,1280.000000,1280.000000,36.247787
1408.000000,1408.000000,1408.000000,44.323380
1536.000000,1536.000000,1536.000000,52.428802
1664.000000,1664.000000,1664.000000,43.056994
1792.000000,1792.000000,1792.000000,49.731964
1920.000000,1920.000000,1920.000000,57.123968
2048.000000,2048.000000,2048.000000,50.231184
2176.000000,2176.000000,2176.000000,56.527100
2304.000000,2304.000000,2304.000000,63.195429
2432.000000,2432.000000,2432.000000,55.853806
2560.000000,2560.000000,2560.000000,63.258689
2688.000000,2688.000000,2688.000000,57.387374
2816.000000,2816.000000,2816.000000,64.375217
2944.000000,2944.000000,2944.000000,11.482957
3072.000000,3072.000000,3072.000000,11.473780
3200.000000,3200.000000,3200.000000,11.823388
3328.000000,3328.000000,3328.000000,15.349957
3456.000000,3456.000000,3456.000000,14.168993
3584.000000,3584.000000,3584.000000,15.659246
3712.000000,3712.000000,3712.000000,16.594243
3840.000000,3840.000000,3840.000000,66.163325
3968.000000,3968.000000,3968.000000,64.975472
4096.000000,4096.000000,4096.000000,20.494386
