N,Triton,Triton_rmsnorm_fwd,Torch_Py
512.000000,585.142849,585.142849,83.207113
1024.000000,656.180248,712.347810,133.203246
1536.000000,722.823517,744.727267,147.161672
2048.000000,744.727267,762.046512,156.784685
2560.000000,731.428561,772.830192,161.319391
3072.000000,712.347810,792.774204,166.054047
3584.000000,707.950632,796.444416,169.156347
4096.000000,675.628891,809.086437,171.560210
4608.000000,708.923085,801.391287,173.477645
5120.000000,688.674636,803.876132,16.969445
5632.000000,682.666661,811.819811,16.321681
6144.000000,668.734699,812.429770,17.728405
6656.000000,657.382730,819.199998,178.684564
7168.000000,644.314599,819.199978,179.060113
7680.000000,639.999977,824.697989,22.347913
8192.000000,636.271854,824.352186,161.319381
8704.000000,773.688877,819.802804,183.968296
9216.000000,767.999973,819.342269,162.485943
9728.000000,759.258522,823.534398,111.455779
10240.000000,751.559629,827.474771,144.352419
10752.000000,741.517223,827.076932,181.954183
11264.000000,735.608155,826.715592,32.794833
11776.000000,730.294615,830.026443,37.570490
12288.000000,717.547469,829.569620,38.855337
12800.000000,711.111086,829.149834,39.513794
13312.000000,702.943876,832.000002,40.362328
13824.000000,695.547157,831.518834,41.211849
14336.000000,688.816809,831.072445,41.025935
14848.000000,682.666664,830.657357,41.773869
15360.000000,675.164823,830.270234,41.877822
15872.000000,668.294715,832.629524,23.507544
16384.000000,661.979817,832.203143,44.711583
16896.000000,819.199976,826.715629,42.121533
17408.000000,814.409324,826.607574,43.601752
17920.000000,807.661980,828.670553,46.022472
18432.000000,803.574931,826.084006,26.364384
18944.000000,797.642080,830.421885,45.051130
19456.000000,790.091366,830.122659,53.810452
19968.000000,784.982774,829.838978,55.727890
20480.000000,785.685620,829.569599,56.809985
20992.000000,773.898641,831.302037,58.976648
21504.000000,766.289509,829.069904,56.505830
22016.000000,759.172395,828.837636,60.530287
22528.000000,752.501029,830.525371,57.223053
23040.000000,749.268261,830.270261,59.238313
23552.000000,745.463886,830.026443,56.289787
24064.000000,739.009584,829.793083,58.372347
24576.000000,724.154694,829.569620,49.259756
25088.000000,725.873392,830.964943,62.872266
25600.000000,723.674909,830.831595,61.751847
26112.000000,719.091222,830.600417,58.465156
26624.000000,712.347810,832.000002,63.693778
27136.000000,707.127014,831.754763,42.164908
27648.000000,700.503588,829.958749,39.684938
28160.000000,696.383330,831.339466,40.253731
28672.000000,694.027203,831.072445,40.894276
29184.000000,598.646152,832.342213,41.213062
29696.000000,681.687221,832.112110,42.415283
30208.000000,677.879368,831.889845,42.727369
30720.000000,672.394001,833.084731,42.792964
31232.000000,125.712731,831.467585,43.842075
31744.000000,663.060042,832.629524,44.498336
32256.000000,659.126416,832.412895,44.652708
