N,Triton,Torch
256.000000,38.183976,23.216543
384.000000,539.508662,111.344308
512.000000,631.976877,85.912508
640.000000,155.670905,455.058643
768.000000,183.482506,167.850373
896.000000,303.871852,155.082095
1024.000000,130.822515,249.262117
1152.000000,734.543843,249.707642
1280.000000,153.470657,366.453035
1408.000000,211.740192,143.002730
1536.000000,269.446202,260.818217
1664.000000,765.764830,97.903250
1792.000000,296.157559,85.035056
1920.000000,311.543769,152.738344
2048.000000,249.730901,94.614996
2176.000000,246.533444,251.173179
2304.000000,224.232425,121.846759
2432.000000,186.903015,227.118242
2560.000000,184.684093,232.355951
2688.000000,131.274078,152.385392
2816.000000,115.422010,195.782381
2944.000000,119.484385,353.001720
3072.000000,123.814502,137.813792
3200.000000,185.793339,173.057840
3328.000000,136.511991,254.867816
3456.000000,232.677178,335.848708
3584.000000,251.404294,363.484473
3712.000000,285.057620,160.569379
3840.000000,792.371882,166.504071
3968.000000,294.956745,211.917933
4096.000000,242.531066,182.085880
4224.000000,172.901983,121.816084
4352.000000,406.492308,218.210333
4480.000000,235.192955,134.542947
4608.000000,185.360399,130.721883
4736.000000,230.280060,228.820307
4864.000000,111.026946,140.902389
4992.000000,195.626057,163.762163
5120.000000,120.856342,74.027548
5248.000000,181.227335,170.923069
5376.000000,34.273875,82.139453
5504.000000,185.193668,106.095018
5632.000000,264.324904,114.412148
5760.000000,206.034823,173.392203
5888.000000,73.828946,129.250564
6016.000000,167.344612,103.770908
6144.000000,186.807772,106.704302
6272.000000,140.922931,104.354999
6400.000000,384.859047,155.406906
6528.000000,169.743304,98.574137
6656.000000,188.860357,53.669686
6784.000000,264.194484,46.323402
6912.000000,317.585693,146.262461
7040.000000,190.501119,142.329383
7168.000000,187.296173,59.669131
7296.000000,150.810259,90.298578
7424.000000,126.005413,131.732866
7552.000000,256.983826,129.914923
7680.000000,375.040674,158.867763
7808.000000,144.777317,118.250767
7936.000000,251.120502,79.658055
8064.000000,217.574345,41.883061
8192.000000,268.820937,77.701240
8320.000000,297.522382,150.790401
8448.000000,120.738320,140.423867
8576.000000,306.611839,57.880769
8704.000000,152.377954,93.431050
8832.000000,199.580395,171.364206
8960.000000,421.431300,191.904190
9088.000000,332.859302,124.653108
9216.000000,204.571321,35.276322
9344.000000,277.746237,206.186063
9472.000000,212.203324,110.541214
9600.000000,169.914532,108.350181
9728.000000,96.985171,142.687242
9856.000000,103.762202,138.886766
9984.000000,373.403285,80.828480
10112.000000,263.776871,69.264262
10240.000000,86.412510,29.898152
10368.000000,147.964007,104.928527
10496.000000,221.471566,153.548856
10624.000000,72.143303,53.291984
10752.000000,234.695773,107.934396
10880.000000,125.237411,81.497622
11008.000000,221.963766,91.718404
11136.000000,106.528187,135.138397
11264.000000,128.370007,134.335055
11392.000000,247.696245,66.099099
11520.000000,164.597840,90.937758
11648.000000,356.107502,113.622230
11776.000000,263.037703,108.785232
11904.000000,155.620542,114.457600
12032.000000,160.791907,74.372042
12160.000000,317.866411,134.095391
12288.000000,324.142098,107.885589
12416.000000,345.438612,143.833764
12544.000000,155.637330,80.372690
12672.000000,258.367985,72.600559
